property,def,superPropertyList
http://purl.obolibrary.org/obo/RO_0002257,Inverse of developmentally induced by,http://purl.obolibrary.org/obo/RO_0002286 http://purl.obolibrary.org/obo/RO_0002386
http://purl.obolibrary.org/obo/RO_0000302,"A relation that holds between a neuron that is synapsed_to another neuron or a neuron that is connected indirectly to another by a chain of neurons, each synapsed_to the next.",http://purl.obolibrary.org/obo/RO_0000300
http://purl.obolibrary.org/obo/BFO_0000063,"x precedes y if and only if the time point at which x ends is before or equivalent to the time point at which y starts. Formally: x precedes y iff ω(x) <= α(y), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002093,,http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002081,,http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002593,x existence starts at point y if and only if the time point at which x starts is equivalent to the time point at which y ends.,http://purl.obolibrary.org/obo/RO_0002487
http://purl.obolibrary.org/obo/RO_0002636,A sub-relation of parasite-of in which the parasite is partially an endoparasite and partially an ectoparasite,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0000056,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",
http://purl.obolibrary.org/obo/RO_0002624,,http://purl.obolibrary.org/obo/RO_0002444 http://purl.obolibrary.org/obo/RO_0002618
http://purl.obolibrary.org/obo/RO_HOM0000013,Syntenic homology that involves chromosomes of different species.,http://purl.obolibrary.org/obo/RO_HOM0000010
http://purl.obolibrary.org/obo/RO_0002491,x existence starts and ends during y if and only if the start of x is part of y and the end of x is part of y. Formally: x existence starts and ends during y iff α(x) >= α(y) & α(x) <= ω(y) & ω(x) <= ω(y) & ω(x) >= α(y),http://purl.obolibrary.org/obo/RO_0002488 http://purl.obolibrary.org/obo/RO_0002492
http://purl.obolibrary.org/obo/RO_0000301,"A relation that holds between a neuron that is synapsed_to another neuron or a neuron that is connected indirectly to another by a chain of neurons, each synapsed_to the next.",http://purl.obolibrary.org/obo/RO_0000300
http://purl.obolibrary.org/obo/RO_0002441,An interaction relationship between two organisms living together in more or less intimate association in a relationship in which one benefits and the other is unaffected (GO).,http://purl.obolibrary.org/obo/RO_0002440
http://purl.obolibrary.org/obo/RO_0000052,"a relation between a specifically dependent continuant (the dependent) and an independent continuant (the bearer), in which the dependent specifically depends on the bearer for its existence",http://purl.obolibrary.org/obo/RO_0002314
http://purl.obolibrary.org/obo/RO_0002223,inverse of starts with,http://purl.obolibrary.org/obo/BFO_0000050 http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_0002610,"A relationship that holds between two entities, where the entities exhibit a statistical dependence relationship. The entities may be statistical variables, or they may be other kinds of entities such as diseases, chemical entities or processes.",http://purl.obolibrary.org/obo/RO_0002609
http://purl.obolibrary.org/obo/RO_0002082,,http://purl.obolibrary.org/obo/RO_0002081
http://purl.obolibrary.org/obo/RO_0002320,A relationship that holds via some environmental process,
http://purl.obolibrary.org/obo/RO_0002592,"p results in organization of c iff p results in the assembly, arrangement of constituent parts, or disassembly of c",http://purl.obolibrary.org/obo/RO_0000057
http://purl.obolibrary.org/obo/RO_HOM0000017,Historical homology that involves genes that diverged after a speciation event.,http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_HOM0000068,"Xenology that is characterized by multiple horizontal transfer events, resulting in the presence of two or more copies of the foreign gene in the host genome.",http://purl.obolibrary.org/obo/RO_HOM0000018
http://purl.obolibrary.org/obo/RO_0002551,A relation between a segment or subdivision of an organism and the maximal subdivision of material entities that provides structural support for that segment or subdivision.,http://purl.obolibrary.org/obo/BFO_0000051
http://purl.obolibrary.org/obo/RO_0002625,,http://purl.obolibrary.org/obo/RO_0002619 http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002637,,http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002334,inverse of regulates,http://purl.obolibrary.org/obo/RO_0002427
http://purl.obolibrary.org/obo/RO_0002226,x develops_in y if x is located in y whilst x is developing,http://purl.obolibrary.org/obo/RO_0002258
http://purl.obolibrary.org/obo/RO_0002216,"c stands in this relationship to p if and only if there exists some p' such that c is capable_of p', and p' is part_of p.",http://purl.obolibrary.org/obo/RO_0002328 http://purl.obolibrary.org/obo/RO_0002500
http://purl.obolibrary.org/obo/RO_0002341,"Holds between p and l when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that is aligned_with l ",http://purl.obolibrary.org/obo/RO_0002337
http://purl.obolibrary.org/obo/RO_0002091,,http://purl.obolibrary.org/obo/RO_0002222
http://purl.obolibrary.org/obo/RO_HOM0000037,"Historical homology that involves a structure that has no other homologs in the species in which it is defined, and several homologous structures in another species.",http://purl.obolibrary.org/obo/RO_HOM0000007
http://purl.obolibrary.org/obo/RO_0002440,A biotic interaction in which the two organisms live together in more or less intimate association.,http://purl.obolibrary.org/obo/RO_0002574
http://purl.obolibrary.org/obo/RO_0002241,"A broad relationship between an exposure event or process and any agent, stimulus, activity, or event that causes stress or tension on an organism and interacts with an exposure receptor during an exposure event.",http://purl.obolibrary.org/obo/RO_0002244
http://purl.obolibrary.org/obo/RO_0002583,x existence starts at point y if and only if the time point at which x starts is equivalent to the time point at which y ends.,http://purl.obolibrary.org/obo/RO_0002487
http://purl.obolibrary.org/obo/RO_0002433,"p contributes to morphology of w if and only if a change in the morphology of p entails a change in the morphology of w. Examples: every skull contributes to morphology of the head which it is a part of. Counter-example: nuclei do not generally contribute to the morphology of the cell they are part of, as they are buffered by cytoplasm.",http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0002514,A relation that holds between two entities that have the property of being sequences or having sequences. ,
http://purl.obolibrary.org/obo/BFO_0000050,a core relation that holds between a part and its whole,http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_HOM0000046,Historical homology that involves not recombining and subsequently differentiated sex chromosomes.,http://purl.obolibrary.org/obo/RO_HOM0000047
http://purl.obolibrary.org/obo/RO_0002634,,http://purl.obolibrary.org/obo/RO_0002444
http://purl.obolibrary.org/obo/RO_0002629,"p 'directly positively regulates' q if and only if p and q are processes, and p positively regulates q, and q directly follows from p",http://purl.obolibrary.org/obo/RO_0002578 http://purl.obolibrary.org/obo/RO_0002213
http://purl.obolibrary.org/obo/RO_0002622,,http://purl.obolibrary.org/obo/RO_0002618
http://purl.obolibrary.org/obo/RO_0001023,"A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is part of the host itself, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",http://purl.obolibrary.org/obo/RO_0003302
http://purl.obolibrary.org/obo/RO_0001015,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",
http://purl.obolibrary.org/obo/RO_0002108,Relation between a muscle and a motor neuron that synapses to it via a type II bouton.,http://purl.obolibrary.org/obo/RO_0002103
http://purl.obolibrary.org/obo/RO_0002586,p results in breakdown of c if and only if the execution of p leads to c no longer being present at the end of p,http://purl.obolibrary.org/obo/RO_0002233
http://purl.obolibrary.org/obo/RO_0002092,,http://purl.obolibrary.org/obo/RO_0002093
http://purl.obolibrary.org/obo/RO_0002599,"Holds between a material entity c and a pathological process p if and only if c is capable of some activity a, where a inhibits p.",http://purl.obolibrary.org/obo/RO_0002597
http://purl.obolibrary.org/obo/RO_0002565,Holds between p and c when p is locomotion process and the outcome of this process is the change of location of c,http://purl.obolibrary.org/obo/RO_0000057
http://purl.obolibrary.org/obo/RO_0002120," Relation between a neuron and an anatomical structure (including cells) that it chemically synapses to.
        ",http://purl.obolibrary.org/obo/RO_0000302
http://purl.obolibrary.org/obo/RO_0003003,Holds between protein a (a transcription factor) and DNA element b if and only if a activates the process of transcription of b.,http://purl.obolibrary.org/obo/RO_0002450
http://purl.obolibrary.org/obo/RO_0002355,A relationship between a process and an anatomical entity such that the process contributes to the act of creating the structural organization of the anatomical entity.,http://purl.obolibrary.org/obo/RO_0000057 http://purl.obolibrary.org/obo/RO_0002295
http://purl.obolibrary.org/obo/RO_0002515,x is sequentially adjacent to y iff x and y do not overlap and if there are no base units intervening between x and y,http://purl.obolibrary.org/obo/RO_0002527
http://purl.obolibrary.org/obo/RO_0002521,x is sequentially aligned with if a significant portion bases of x and y correspond in terms of their base type and their relative ordering,http://purl.obolibrary.org/obo/RO_0002514
http://purl.obolibrary.org/obo/RO_0002219,"x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x",http://purl.obolibrary.org/obo/RO_0002220
http://purl.obolibrary.org/obo/RO_0002383,x proper_tributary_of y iff x tributary_of y and x does not originate from y,http://purl.obolibrary.org/obo/RO_0002376
http://purl.obolibrary.org/obo/RO_0002623,,http://purl.obolibrary.org/obo/RO_0002619
http://purl.obolibrary.org/obo/RO_0002502,,
http://purl.obolibrary.org/obo/RO_0002333,inverse of enables,
http://purl.obolibrary.org/obo/RO_0002635,,http://purl.obolibrary.org/obo/RO_0002445
http://purl.obolibrary.org/obo/RO_0002429,,http://purl.obolibrary.org/obo/RO_0002428
