Level	Rule Name	Subject	Property	Value
WARN	annotation_whitespace	in neural circuit with [RO:0000300]	first order logic expression [IAO:0000426]	(forall (?x ?y)         (iff             (neural_circuit_path  ?x ?y)            (and                (\"neuron ; CL_0000540\" ?x)                (\"neuron ; CL_0000540\" ?y)                (or                     (synapsed_by ?x ?y)                     (synapsed_to ?x ?y)))))         (forall (...s ?x ?y ?z)         (iff             (neural_circuit_path  ...s ?x ?y ?z)            (and                (neural_circuit_path  ...s ?x ?y)                (\"neuron ; CL_0000540\" ?z)                (or                     (synapsed_by ?y ?z)                     (synapsed_to ?y ?z)))))         (forall (?x ?y)         (iff             (in_neural_circuit_with ?x ?y)            (exists (...s)                (neural_circuit_path  ?x ...s ?y)))) 	
WARN	annotation_whitespace	contained in [RO:0001018]	editor note [IAO:0000116]	Intended meaning:    domain: material entity    range: spatial region or site (immaterial continuant)            @en	
WARN	annotation_whitespace	ends during [RO:0002093]	comment [rdfs:comment]	X ends_during Y iff: ((start(Y) before_or_simultaneous_with end(X)) AND end(X) before_or_simultaneous_with end(Y). @en	
WARN	annotation_whitespace	synapsed by [RO:0002103]	definition [IAO:0000115]	Relation between an anatomical structure (including cells) and a neuron that chemically synapses to it. @en	
WARN	annotation_whitespace	has postsynaptic terminal in [RO:0002110]	definition [IAO:0000115]	Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input. @en	
WARN	annotation_whitespace	synapsed to [RO:0002120]	definition [IAO:0000115]	 Relation between a neuron and an anatomical structure (including cells) that it chemically synapses to.            @en	
WARN	annotation_whitespace	never in taxon [RO:0002161]	expand assertion to [IAO:0000425]	?X DisjointWith RO_0002162 some ?Y 	
WARN	annotation_whitespace	spatially disjoint from [RO:0002163]	editor note [IAO:0000116]	There are two ways to encode this as a shortcut relation. The other possibility to use an annotation assertion between two classes, and expand this to a disjointness axiom. @en	
WARN	annotation_whitespace	capable of [RO:0002215]	definition [IAO:0000115]	A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. 	
WARN	annotation_whitespace	developmentally induced by [RO:0002256]	definition source [IAO:0000119]	 Developmental Biology, Gilbert, 8th edition, figure 6.5(F)	
WARN	annotation_whitespace	results in maturation of [RO:0002299]	example of usage [IAO:0000112]	 an annotation of gene X to cell maturation with results_in_maturation_of CL:0000057 (fibroblast) means that the fibroblast is mature at the end of the process	
WARN	annotation_whitespace	contributes to [RO:0002326]	curator note [IAO:0000232]	In the context of the Gene Ontology, contributes_to may be used only with classes from the molecular function ontology. 	
WARN	annotation_whitespace	results in transport along [RO:0002341]	definition [IAO:0000115]	Holds between p and l when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that is aligned_with l 	
WARN	annotation_whitespace	results in specification of [RO:0002356]	definition [IAO:0000115]	The relationship linking a cell and its participation in a process that results in the fate of the cell being specified. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment. 	
